topic,component,metric,filter_conditions,time_type,time_index,time_label,aggregation,value,unit,query_terms,recommended_answer
综合态势,智能预警统计,处理中,,固定展示,,固定展示值,当期,156.0,件,处理中；智能预警统计,处理中预警数量为156件。
综合态势,安防告警统计,紧急告警、处理中,告警等级=紧急告警；处理状态=处理中,固定展示,,固定展示值,当期,1.0,件,紧急告警、处理中；安防告警统计,紧急告警中，处理中数量为1件。
综合态势,安防告警统计,紧急告警、待处理,告警等级=紧急告警；处理状态=待处理,固定展示,,固定展示值,当期,9.0,件,紧急告警、待处理；安防告警统计,紧急告警中，待处理数量为9件。
综合态势,安防告警统计,紧急告警、已完成,告警等级=紧急告警；处理状态=已完成,固定展示,,固定展示值,当期,5.0,件,紧急告警、已完成；安防告警统计,紧急告警中，已完成数量为5件。
综合态势,安防告警统计,重要告警、处理中,告警等级=重要告警；处理状态=处理中,固定展示,,固定展示值,当期,7.0,件,重要告警、处理中；安防告警统计,重要告警中，处理中数量为7件。
综合态势,安防告警统计,重要告警、待处理,告警等级=重要告警；处理状态=待处理,固定展示,,固定展示值,当期,6.0,件,重要告警、待处理；安防告警统计,重要告警中，待处理数量为6件。
综合态势,安防告警统计,重要告警、已完成,告警等级=重要告警；处理状态=已完成,固定展示,,固定展示值,当期,10.0,件,重要告警、已完成；安防告警统计,重要告警中，已完成数量为10件。
综合态势,安防告警统计,一般告警、处理中,告警等级=一般告警；处理状态=处理中,固定展示,,固定展示值,当期,5.0,件,一般告警、处理中；安防告警统计,一般告警中，处理中数量为5件。
综合态势,安防告警统计,一般告警、待处理,告警等级=一般告警；处理状态=待处理,固定展示,,固定展示值,当期,1.0,件,一般告警、待处理；安防告警统计,一般告警中，待处理数量为1件。
综合态势,安防告警统计,一般告警、已完成,告警等级=一般告警；处理状态=已完成,固定展示,,固定展示值,当期,2.0,件,一般告警、已完成；安防告警统计,一般告警中，已完成数量为2件。
综合态势,会议室使用率,空闲中,,固定展示,,固定展示值,当期,518.0,间,空闲中；会议室使用率,空闲中为518间。
综合态势,人车数量统计,车辆总数,,固定展示,,固定展示值,当期,8039.0,辆,车辆总数；人车数量统计,"车辆总数为8,039辆。"
综合态势,智能预警统计,已处理,,固定展示,,固定展示值,当期,648.0,件,已处理；智能预警统计,已处理预警数量为648件。
综合态势,会议室使用率,使用中,,固定展示,,固定展示值,当期,1120.0,个,使用中；会议室使用率,"使用中为1,120个。"
综合态势,人车数量统计,安保,,固定展示,,固定展示值,当期,723.0,人,安保；人车数量统计,安保为723人。
综合态势,人车数量统计,总人数,,固定展示,,固定展示值,当期,32159.0,人,总人数；人车数量统计,"总人数为32,159人。"
综合态势,车位使用率,使用率,区域=组团A；车位类型=普通车位,固定展示,,固定展示值,当期,35.8,%,使用率；车位使用率；利用率,组团A普通车位使用率为35.8%。
综合态势,车位使用率,使用率,区域=组团A；车位类型=新能源车位,固定展示,,固定展示值,当期,31.0,%,使用率；车位使用率；利用率,组团A新能源车位使用率为31%。
综合态势,车位使用率,使用率,区域=组团B；车位类型=普通车位,固定展示,,固定展示值,当期,43.2,%,使用率；车位使用率；利用率,组团B普通车位使用率为43.2%。
综合态势,车位使用率,使用率,区域=组团B；车位类型=新能源车位,固定展示,,固定展示值,当期,38.1,%,使用率；车位使用率；利用率,组团B新能源车位使用率为38.1%。
综合态势,车位使用率,使用率,区域=组团C；车位类型=普通车位,固定展示,,固定展示值,当期,29.4,%,使用率；车位使用率；利用率,组团C普通车位使用率为29.4%。
综合态势,车位使用率,使用率,区域=组团C；车位类型=新能源车位,固定展示,,固定展示值,当期,26.7,%,使用率；车位使用率；利用率,组团C新能源车位使用率为26.7%。
综合态势,车位使用率,使用率,区域=组团D；车位类型=普通车位,固定展示,,固定展示值,当期,99.2,%,使用率；车位使用率；利用率,组团D普通车位使用率为99.2%。
综合态势,车位使用率,使用率,区域=组团D；车位类型=新能源车位,固定展示,,固定展示值,当期,97.4,%,使用率；车位使用率；利用率,组团D新能源车位使用率为97.4%。
综合态势,车位使用率,使用率,区域=组团E；车位类型=普通车位,固定展示,,固定展示值,当期,95.5,%,使用率；车位使用率；利用率,组团E普通车位使用率为95.5%。
综合态势,车位使用率,使用率,区域=组团E；车位类型=新能源车位,固定展示,,固定展示值,当期,93.2,%,使用率；车位使用率；利用率,组团E新能源车位使用率为93.2%。
综合态势,车位使用率,使用率,区域=组团F；车位类型=普通车位,固定展示,,固定展示值,当期,92.1,%,使用率；车位使用率；利用率,组团F普通车位使用率为92.1%。
综合态势,车位使用率,使用率,区域=组团F；车位类型=新能源车位,固定展示,,固定展示值,当期,89.6,%,使用率；车位使用率；利用率,组团F新能源车位使用率为89.6%。
综合态势,车位使用率,使用率,区域=组团G；车位类型=普通车位,固定展示,,固定展示值,当期,97.8,%,使用率；车位使用率；利用率,组团G普通车位使用率为97.8%。
综合态势,车位使用率,使用率,区域=组团G；车位类型=新能源车位,固定展示,,固定展示值,当期,94.1,%,使用率；车位使用率；利用率,组团G新能源车位使用率为94.1%。
综合态势,车位使用率,使用率,区域=组团H；车位类型=普通车位,固定展示,,固定展示值,当期,46.8,%,使用率；车位使用率；利用率,组团H普通车位使用率为46.8%。
综合态势,车位使用率,使用率,区域=组团H；车位类型=新能源车位,固定展示,,固定展示值,当期,42.1,%,使用率；车位使用率；利用率,组团H新能源车位使用率为42.1%。
综合态势,专题预警统计,综合安防,类别=综合安防,固定展示,,固定展示值,当期,51.0,个,综合安防；专题预警统计,综合安防预警数量为51个。
综合态势,专题预警统计,便捷通行,类别=便捷通行,固定展示,,固定展示值,当期,68.0,个,便捷通行；专题预警统计,便捷通行预警数量为68个。
综合态势,专题预警统计,网络管理,类别=网络管理,固定展示,,固定展示值,当期,74.0,个,网络管理；专题预警统计,网络管理预警数量为74个。
综合态势,专题预警统计,能源管理,类别=能源管理,固定展示,,固定展示值,当期,60.0,个,能源管理；专题预警统计,能源管理预警数量为60个。
综合态势,专题预警统计,设备管理,类别=设备管理,固定展示,,固定展示值,当期,87.0,个,设备管理；专题预警统计,设备管理预警数量为87个。
综合态势,专题预警统计,环境空间,类别=环境空间,固定展示,,固定展示值,当期,23.0,个,环境空间；专题预警统计,环境空间预警数量为23个。
综合态势,专题预警统计,资产管理,类别=资产管理,固定展示,,固定展示值,当期,22.0,个,资产管理；专题预警统计,资产管理预警数量为22个。
综合态势,智能预警统计,待处理,,固定展示,,固定展示值,当期,324.0,件,待处理；智能预警统计,待处理预警数量为324件。
综合态势,资产分类统计,实验仪器,类别=实验仪器,固定展示,,固定展示值,当期,477.0,台,实验仪器；资产分类统计,实验仪器资产数量为477台。
综合态势,资产分类统计,IT及计算机,类别=IT及计算机,固定展示,,固定展示值,当期,563.0,台,IT及计算机；资产分类统计,IT及计算机资产数量为563台。
综合态势,资产分类统计,办公设备,类别=办公设备,固定展示,,固定展示值,当期,845.0,台,办公设备；资产分类统计,办公设备资产数量为845台。
综合态势,资产分类统计,其他配套,类别=其他配套,固定展示,,固定展示值,当期,316.0,台,其他配套；资产分类统计,其他配套资产数量为316台。
综合安防,安防告警,枪机,设备类型=枪机,固定展示,,固定展示值,当期,926.0,件,枪机；安防告警,枪机数量为926件。
综合安防,安防告警,球机,设备类型=球机,固定展示,,固定展示值,当期,419.0,件,球机；安防告警,球机数量为419件。
综合安防,安防告警,筒机,设备类型=筒机,固定展示,,固定展示值,当期,1015.0,件,筒机；安防告警,"筒机数量为1,015件。"
