topic,component,time_label,location,event_type,status,detail,recommended_answer
综合安防,安防告警,系统时间事件-19:23:23,A区J03,机器人员巡更,已处理,系统事件记录,A区J03发生机器人员巡更，已处理。
综合安防,安防告警,系统时间事件-09:23:23,B区J03,视频周界,未处理,系统事件记录,B区J03发生视频周界，未处理。
综合安防,安防告警,系统时间事件-09:23:23,H区J04,设备告警,处理中,系统事件记录,H区J04发生设备告警，处理中。
综合安防,安防告警,系统时间事件-09:23:23,L区J03,通行告警,已处理,系统事件记录,L区J03发生通行告警，已处理。
综合安防,安防告警,系统时间事件-09:23:23,M区J022,能耗告警,未处理,系统事件记录,M区J022发生能耗告警，未处理。
便捷通行,通行告警,系统时间事件-08:15:22,D区,权限过期,已处理,系统事件记录,D区发生权限过期，已处理。
便捷通行,通行告警,系统时间事件-08:52:10,A区,设备故障,已处理,系统事件记录,A区发生设备故障，已处理。
便捷通行,通行告警,系统时间事件-09:34:05,E区,违停,已处理,系统事件记录,E区发生违停，已处理。
便捷通行,通行告警,系统时间事件-10:12:45,B区,其它,已处理,系统事件记录,B区发生其它，已处理。
便捷通行,通行告警,系统时间事件-10:58:30,F区,违停,已处理,系统事件记录,F区发生违停，已处理。
便捷通行,通行告警,系统时间事件-11:45:12,C区,尾随,已处理,系统事件记录,C区发生尾随，已处理。
便捷通行,通行告警,系统时间事件-12:20:55,G区,设备故障,处理中,系统事件记录,G区发生设备故障，处理中。
便捷通行,通行告警,系统时间事件-13:05:18,H区,权限过期,处理中,系统事件记录,H区发生权限过期，处理中。
便捷通行,通行告警,系统时间事件-13:42:09,E区,违停,待处理,系统事件记录,E区发生违停，待处理。
便捷通行,通行告警,系统时间事件-14:05:33,D区,其它,待处理,系统事件记录,D区发生其它，待处理。
资产管理,资产异常事件,系统时间事件-09:12:33,组团D,异常离位,已处理,系统事件记录,组团D发生异常离位，已处理。
资产管理,资产异常事件,系统时间事件-14:45:10,组团E,盘点遗失,已处理,系统事件记录,组团E发生盘点遗失，已处理。
资产管理,资产异常事件,系统时间事件-18:20:05,组团B,标签掉线,已处理,系统事件记录,组团B发生标签掉线，已处理。
资产管理,资产异常事件,系统时间事件-08:30:15,组团F,出门逾期,已处理,系统事件记录,组团F发生出门逾期，已处理。
资产管理,资产异常事件,系统时间事件-11:15:42,组团D,异常离位,已处理,系统事件记录,组团D发生异常离位，已处理。
资产管理,资产异常事件,系统时间事件-16:55:20,组团G,标签掉线,处理中,系统事件记录,组团G发生标签掉线，处理中。
资产管理,资产异常事件,系统时间事件-09:05:11,组团E,出门逾期,处理中,系统事件记录,组团E发生出门逾期，处理中。
资产管理,资产异常事件,系统时间事件-10:30:45,组团C,盘点遗失,待处理,系统事件记录,组团C发生盘点遗失，待处理。
资产管理,资产异常事件,系统时间事件-13:10:22,组团F,异常离位,待处理,系统事件记录,组团F发生异常离位，待处理。
资产管理,资产异常事件,系统时间事件-14:25:08,组团D,标签掉线,待处理,系统事件记录,组团D发生标签掉线，待处理。
设施管理,设施运行,系统时间事件-09:12:45,G区 1#无功补偿柜,系统事件,待处理,升温速率较基准加快 18%,G区 1#无功补偿柜发生系统事件，待处理。
设施管理,设施运行,系统时间事件-08:30:22,G区 2#无功补偿柜,系统事件,已处理,设备运行温度正常，无异常告警,G区 2#无功补偿柜发生系统事件，已处理。
设施管理,设施运行,系统时间事件-07:15:10,G区 3#无功补偿柜,系统事件,排查中,功率因数偏低，建议检查电容器组,G区 3#无功补偿柜发生系统事件，排查中。
设施管理,设施运行,系统时间事件-06:00:55,G区 1#无功补偿柜,系统事件,待处理,电网谐波含量略高，需关注滤波器状态,G区 1#无功补偿柜发生系统事件，待处理。
设施管理,设施运行,系统时间事件-23:45:30,G区 2#无功补偿柜,系统事件,已处理,例行巡检完成，设备状态良好,G区 2#无功补偿柜发生系统事件，已处理。
网络体验,网络设备与终端,系统时间事件-06:27:14,系统区域,网页无法访问,待处理,系统事件记录,系统区域发生网页无法访问，待处理。
网络体验,网络设备与终端,系统时间事件-02:32:28,系统区域,下载速度过慢,待处理,系统事件记录,系统区域发生下载速度过慢，待处理。
网络体验,网络设备与终端,系统时间事件-21:04:25,系统区域,NCE Campus设备异常,待处理,系统事件记录,系统区域发生NCE Campus设备异常，待处理。
网络体验,网络设备与终端,系统时间事件-18:16:50,系统区域,网页无法访问,已完成,系统事件记录,系统区域发生网页无法访问，已完成。
网络体验,网络设备与终端,系统时间事件-15:32:46,系统区域,下载速度过慢,处理中,系统事件记录,系统区域发生下载速度过慢，处理中。
